City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Margate,GB,51.3813,1.3862,42.96,66,29,5.99,scattered clouds
1,Anzhero-Sudzhensk,RU,56.081,86.0285,33.46,97,100,14.79,snow
2,Ushuaia,AR,-54.8,-68.3,42.42,87,75,5.75,broken clouds
3,Mar Del Plata,AR,-38.0023,-57.5575,69.1,90,20,11.99,few clouds
4,Hithadhoo,MV,-0.6,73.0833,82.35,70,29,10.04,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,79.29,77,100,18.19,overcast clouds
6,Saint-Philippe,RE,-21.3585,55.7679,78.39,87,100,16.71,light rain
7,Mayo,US,38.8876,-76.5119,77.04,58,0,9.22,clear sky
8,Saskylakh,RU,71.9167,114.0833,-12.78,100,99,1.48,overcast clouds
9,Northam,GB,51.0333,-4.2167,41.4,78,28,11.65,scattered clouds
10,Birin,NP,26.8865,88.0718,53.78,52,0,5.59,clear sky
11,Cape Town,ZA,-33.9258,18.4232,71.28,86,75,16.11,broken clouds
12,Kahului,US,20.8947,-156.47,84.22,51,20,9.22,few clouds
13,Yaan,NG,7.3833,8.5667,82.22,62,100,12.26,overcast clouds
14,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,83,0,14.97,clear sky
15,Provideniya,RU,64.3833,-173.3,10.81,93,100,16.62,overcast clouds
16,Barrow,US,71.2906,-156.7887,6.82,78,100,12.66,light snow
17,Mataura,NZ,-46.1927,168.8643,52.48,90,100,5.68,overcast clouds
18,Tautira,PF,-17.7333,-149.15,87.82,77,33,15.28,light rain
19,Mahebourg,MU,-20.4081,57.7,80.26,89,75,12.66,broken clouds
20,Narsaq,GL,60.9167,-46.05,19.62,96,100,2.95,light snow
21,Cap Malheureux,MU,-19.9842,57.6142,80.47,84,100,10.0,overcast clouds
22,Atuona,PF,-9.8,-139.0333,78.42,75,95,10.67,overcast clouds
23,Turukhansk,RU,65.8167,87.9833,-22.47,96,15,6.82,few clouds
24,Staunton,US,38.1496,-79.0717,72.32,41,0,11.5,clear sky
25,Lata,PT,40.1629,-8.3327,48.06,69,6,3.71,clear sky
26,Coyaima,CO,3.7994,-75.1947,76.05,79,96,4.16,overcast clouds
27,Mount Gambier,AU,-37.8333,140.7667,59.2,76,16,7.54,few clouds
28,Lamani,HN,14.2,-87.6167,87.62,22,34,8.25,scattered clouds
29,Kapaa,US,22.0752,-159.319,81.48,62,20,12.66,few clouds
30,Fukue,JP,32.6881,128.8419,47.1,53,100,8.3,overcast clouds
31,Georgetown,MY,5.4112,100.3354,78.73,97,20,4.61,few clouds
32,Axim,GH,4.8699,-2.2405,80.02,86,1,6.71,clear sky
33,Butaritari,KI,3.0707,172.7902,81.45,78,24,18.7,light rain
34,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,90.5,44,77,9.1,broken clouds
35,Pimenta Bueno,BR,-11.6725,-61.1936,72.64,97,96,2.17,overcast clouds
36,Portland,US,45.5234,-122.6762,55.99,70,20,4.61,few clouds
37,Palimbang,PH,6.2106,124.1894,79.09,83,98,3.09,overcast clouds
38,Alta Floresta,BR,-9.8756,-56.0861,73.29,92,56,2.84,broken clouds
39,Zhigansk,RU,66.7697,123.3711,-2.24,92,100,4.41,overcast clouds
40,Constantine,DZ,36.365,6.6147,45.81,87,75,4.61,broken clouds
41,Lasa,IT,46.6166,10.7002,32.88,90,76,2.77,broken clouds
42,Tignere,CM,7.3667,12.65,75.27,32,85,2.39,overcast clouds
43,Almaznyy,RU,48.0448,40.045,23.14,88,16,2.37,few clouds
44,Cabo San Lucas,MX,22.8909,-109.9124,79.61,64,0,13.8,clear sky
45,Sitka,US,57.0531,-135.33,42.69,81,100,0.0,overcast clouds
46,Grants Pass,US,42.439,-123.3284,57.36,49,20,4.61,few clouds
47,Souillac,MU,-20.5167,57.5167,80.37,89,75,12.66,light rain
48,Jamestown,US,42.097,-79.2353,63.72,58,20,16.11,few clouds
49,Port Blair,IN,11.6667,92.75,75.24,88,40,1.14,mist
50,Hami,CN,42.8,93.45,43.83,21,92,1.68,overcast clouds
51,Qaanaaq,GL,77.484,-69.3632,1.54,57,0,6.87,clear sky
52,Victoria,HK,22.2855,114.1577,67.95,93,100,5.01,overcast clouds
53,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.68,70,96,9.71,overcast clouds
54,Damietta,EG,31.4165,31.8133,59.0,82,0,11.54,clear sky
55,Hasaki,JP,35.7333,140.8333,41.4,40,0,13.27,clear sky
56,Aklavik,CA,68.2191,-135.0107,16.63,86,100,16.06,overcast clouds
57,Maine-Soroa,NE,13.2114,12.0241,87.39,10,76,6.08,broken clouds
58,Hobart,AU,-42.8794,147.3294,57.11,68,75,8.05,broken clouds
59,Tilichiki,RU,60.4667,166.1,0.3,87,95,9.84,overcast clouds
60,Saint George,US,37.1041,-113.5841,54.63,34,100,10.36,overcast clouds
61,Avarua,CK,-21.2078,-159.775,84.25,79,40,10.36,scattered clouds
62,Vaini,TO,-21.2,-175.2,82.56,89,75,13.8,broken clouds
63,Maputo,MZ,-25.9653,32.5892,78.48,81,20,5.75,few clouds
64,Bethel,US,41.3712,-73.414,66.31,77,0,11.5,clear sky
65,Upernavik,GL,72.7868,-56.1549,6.37,93,100,2.68,overcast clouds
66,Port Hardy,CA,50.6996,-127.4199,55.76,81,75,9.22,broken clouds
67,New Norfolk,AU,-42.7826,147.0587,56.75,63,72,1.01,broken clouds
68,Srikakulam,IN,18.3,83.9,72.01,71,7,5.66,clear sky
69,Thompson,CA,55.7435,-97.8558,21.36,68,100,10.36,overcast clouds
70,Dwarka,IN,22.2394,68.9678,72.46,72,2,9.91,clear sky
71,Port Elizabeth,ZA,-33.918,25.5701,76.1,83,0,3.44,clear sky
72,Puerto Ayora,EC,-0.7393,-90.3518,82.36,75,75,3.62,light rain
73,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,75,12.66,moderate rain
74,Wonthaggi,AU,-38.6044,145.5913,65.37,81,97,15.79,overcast clouds
75,Thinadhoo,MV,0.5333,72.9333,82.2,71,86,9.44,overcast clouds
76,Hamilton,US,39.1834,-84.5333,68.77,87,100,16.11,thunderstorm
77,Punta Arenas,CL,-53.15,-70.9167,48.31,66,40,6.91,scattered clouds
78,Kavaratti,IN,10.5669,72.642,82.0,67,79,8.84,broken clouds
79,Leningradskiy,RU,69.3833,178.4167,-19.64,96,54,5.91,broken clouds
80,Yellowknife,CA,62.456,-114.3525,17.42,97,100,9.22,light snow
81,Marsh Harbour,BS,26.5412,-77.0636,74.46,73,3,19.69,clear sky
82,Honiara,SB,-9.4333,159.95,84.33,70,55,1.32,broken clouds
83,Ponta Do Sol,PT,32.6667,-17.1,62.06,74,12,3.71,few clouds
84,Gamba,GA,-2.65,10.0,80.56,84,97,3.22,overcast clouds
85,Cherskiy,RU,68.75,161.3,-31.07,100,30,1.07,scattered clouds
86,Hermanus,ZA,-34.4187,19.2345,69.8,88,55,6.33,broken clouds
87,Lebu,CL,-37.6167,-73.65,60.24,80,33,10.33,scattered clouds
88,Hilo,US,19.7297,-155.09,78.53,70,75,6.91,broken clouds
89,Yugorsk,RU,61.3133,63.3319,-10.82,92,100,10.6,overcast clouds
90,Busselton,AU,-33.65,115.3333,66.04,89,2,14.9,clear sky
91,Chaoyang,CN,41.5703,120.4586,28.9,49,56,3.2,broken clouds
92,Torbay,CA,47.6666,-52.7314,25.57,63,100,6.91,overcast clouds
93,Biak,ID,-0.9131,122.8766,75.69,89,94,6.26,overcast clouds
94,Tasiilaq,GL,65.6145,-37.6368,24.96,94,97,6.71,overcast clouds
95,Maniitsoq,GL,65.4167,-52.9,12.22,95,100,6.46,light snow
96,Salalah,OM,17.0151,54.0924,73.49,73,0,3.44,clear sky
97,Nikolskoye,RU,59.7035,30.7861,32.72,97,91,4.07,overcast clouds
98,Castro,BR,-24.7911,-50.0119,67.12,88,22,4.34,few clouds
99,Hornepayne,CA,49.2138,-84.7705,24.8,91,100,8.84,overcast clouds
100,Obidos,BR,-1.9175,-55.5181,76.32,91,99,1.5,overcast clouds
101,Airai,TL,-8.9266,125.4092,59.52,84,99,1.88,overcast clouds
102,Bluff,NZ,-46.6,168.3333,52.81,66,100,16.02,overcast clouds
103,Kampong Chhnang,KH,12.1667,104.55,75.92,84,73,7.31,broken clouds
104,Hammerfest,NO,70.6634,23.6821,27.05,80,75,4.61,light snow
105,Chuy,UY,-33.6971,-53.4616,71.46,86,100,7.65,overcast clouds
106,Olafsvik,IS,64.8945,-23.7142,35.35,63,92,27.47,overcast clouds
107,Bilma,NE,18.6853,12.9164,83.5,10,22,7.23,few clouds
108,Esso,RU,55.9333,158.7,11.39,98,83,3.18,broken clouds
109,Chicama,PE,-7.8447,-79.1469,72.14,58,32,8.93,scattered clouds
110,Santa Cruz,BO,-17.8,-63.1667,86.05,62,75,13.8,broken clouds
111,Ancud,CL,-41.8697,-73.8203,58.53,91,96,17.56,light rain
112,Goderich,CA,43.7501,-81.7165,38.21,80,100,11.5,overcast clouds
113,Jumla,NP,29.2747,82.1838,42.35,43,100,5.55,overcast clouds
114,Dhule,IN,20.9,74.7833,82.67,24,84,4.18,broken clouds
115,Oktyabrskiy,RU,54.4815,53.471,-0.31,100,99,3.62,overcast clouds
116,Praia,CV,14.9215,-23.5087,70.34,64,75,19.57,broken clouds
117,Mattru,SL,7.6244,-11.8332,77.99,77,23,3.98,few clouds
118,Slupca,PL,52.2873,17.8719,32.2,65,10,6.42,clear sky
119,Tigil,RU,57.8,158.6667,5.23,97,100,2.75,overcast clouds
120,Bengkulu,ID,-3.8004,102.2655,75.65,84,98,3.98,overcast clouds
121,Pevek,RU,69.7008,170.3133,-25.49,97,28,2.33,scattered clouds
122,Pangnirtung,CA,66.1451,-65.7125,-16.02,100,99,0.98,overcast clouds
123,Norman Wells,CA,65.282,-126.8329,23.04,86,100,27.63,light snow
124,Rognan,NO,67.0953,15.3878,37.76,89,100,5.12,overcast clouds
125,Fez,MA,34.0372,-4.9998,50.25,93,75,5.75,broken clouds
126,Umm Lajj,SA,25.0213,37.2685,75.87,57,14,7.27,few clouds
127,Gigmoto,PH,13.7796,124.39,77.92,88,100,11.43,overcast clouds
128,Hwange,ZW,-18.3693,26.5019,68.41,83,29,1.59,scattered clouds
129,Kavieng,PG,-2.5744,150.7967,78.4,83,100,1.54,overcast clouds
130,Ulladulla,AU,-35.35,150.4667,70.88,95,100,14.14,light rain
131,Port Alfred,ZA,-33.5906,26.891,77.88,69,100,9.26,overcast clouds
132,Beringovskiy,RU,63.05,179.3167,31.24,94,100,15.88,light snow
133,Albany,US,42.6001,-73.9662,64.98,63,75,15.5,broken clouds
134,Husavik,IS,66.0449,-17.3389,33.71,79,9,16.04,clear sky
135,Mount Darwin,ZW,-16.7725,31.5838,66.81,79,34,2.1,scattered clouds
136,Cap-Aux-Meules,CA,47.3821,-61.8597,24.85,93,100,23.02,snow
137,Puerto Escondido,MX,15.85,-97.0667,83.23,74,0,13.8,clear sky
138,Jalalpur Pirwala,PK,29.5069,71.2192,62.22,66,26,13.53,scattered clouds
139,Gat,IL,31.61,34.7642,61.39,100,0,4.7,clear sky
140,Kerema,PG,-7.9631,145.7785,78.89,84,100,2.1,overcast clouds
141,Laharpur,IN,27.7167,80.9,62.26,54,100,5.26,overcast clouds
142,Khatanga,RU,71.9667,102.5,-14.13,98,100,3.53,overcast clouds
143,Chokurdakh,RU,70.6333,147.9167,-27.71,100,91,2.82,overcast clouds
144,Davila,PH,18.4726,120.5763,71.58,69,95,2.19,overcast clouds
145,Cavalcante,BR,-13.7975,-47.4583,69.04,92,88,4.18,overcast clouds
146,Caravelas,BR,-17.7125,-39.2481,77.9,76,100,6.93,overcast clouds
147,Chau Doc,VN,10.7,105.1167,75.43,92,99,1.34,overcast clouds
148,Cururupu,BR,-1.8283,-44.8683,73.87,98,100,5.26,overcast clouds
149,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,82,75,27.42,broken clouds
150,Lagoa,PT,39.05,-27.9833,60.37,90,98,34.34,overcast clouds
151,Abha,SA,18.2164,42.5053,57.02,41,0,0.0,clear sky
152,Ribeira Grande,PT,38.5167,-28.7,59.72,88,98,32.75,overcast clouds
153,Severo-Kurilsk,RU,50.6789,156.125,28.54,79,100,25.32,light snow
154,Faanui,PF,-16.4833,-151.75,81.82,72,89,11.7,overcast clouds
155,Kruisfontein,ZA,-34.0033,24.7314,73.89,50,100,5.57,overcast clouds
156,Budureasa,RO,46.6667,22.5,34.21,78,100,3.22,overcast clouds
157,Flinders,AU,-34.5833,150.8552,74.37,95,99,4.0,light rain
158,Los Llanos De Aridane,ES,28.6585,-17.9182,59.13,87,0,8.05,clear sky
159,Sidrolandia,BR,-20.9319,-54.9614,83.19,56,90,5.21,overcast clouds
160,Tura,IN,25.5198,90.2201,65.21,39,0,4.88,clear sky
161,Esperance,AU,-33.8667,121.9,62.06,90,3,6.69,clear sky
162,Takoradi,GH,4.8845,-1.7554,80.42,85,2,7.23,clear sky
163,Sioux Lookout,CA,50.1001,-91.917,25.18,63,100,11.5,overcast clouds
164,Otradnoye,RU,59.7775,30.8181,32.88,97,94,4.09,overcast clouds
165,Hobyo,SO,5.3505,48.5268,78.19,68,87,15.86,overcast clouds
166,Avera,US,33.194,-82.5271,82.71,42,0,8.14,clear sky
167,Madang,PG,-5.2246,145.7966,77.32,88,100,4.23,light rain
168,Kathmandu,NP,27.7167,85.3167,53.82,94,20,2.3,mist
169,Rawson,AR,-43.3002,-65.1023,75.33,29,33,17.54,scattered clouds
170,Kodiak,US,57.79,-152.4072,44.11,33,0,8.05,clear sky
171,Vardo,NO,70.3705,31.1107,12.4,65,100,14.09,overcast clouds
172,Dunedin,NZ,-45.8742,170.5036,53.8,80,100,3.0,overcast clouds
173,Poum,NC,-20.2333,164.0167,81.05,68,21,11.27,few clouds
174,Mount Isa,AU,-20.7333,139.5,78.57,31,5,12.66,clear sky
175,Bredasdorp,ZA,-34.5322,20.0403,69.28,78,1,11.5,clear sky
176,Iida,JP,35.5197,137.8207,36.46,87,3,3.83,clear sky
177,Bone,DE,51.9669,12.1396,33.26,73,85,4.27,overcast clouds
178,Nyurba,RU,63.2842,118.3319,-17.95,100,49,4.52,scattered clouds
179,Sisimiut,GL,66.9395,-53.6735,10.29,91,100,19.35,overcast clouds
180,Maraa,BR,-1.8333,-65.3667,80.13,84,91,1.12,moderate rain
181,Teknaf,BD,20.8624,92.3058,68.95,49,38,8.34,scattered clouds
182,Puri,IN,19.8,85.85,75.72,69,1,2.04,clear sky
183,Srednekolymsk,RU,67.45,153.6833,-30.44,100,92,5.37,overcast clouds
184,Nelson Bay,AU,-32.7167,152.15,77.05,94,98,1.99,overcast clouds
185,Odweyne,SO,9.4092,45.064,67.5,45,12,1.28,few clouds
186,Pemba,MZ,-12.974,40.5178,75.9,88,40,3.44,scattered clouds
187,Wagar,SD,16.1525,36.2032,80.65,46,16,11.48,few clouds
188,Dikson,RU,73.5069,80.5464,-18.42,100,94,6.02,overcast clouds
189,Camacha,PT,33.0833,-16.3333,56.62,67,75,11.5,broken clouds
190,Tiksi,RU,71.6872,128.8694,-24.27,97,51,1.48,broken clouds
191,Baghdad,IQ,33.3406,44.4009,64.31,45,75,13.8,broken clouds
192,Dariba,IN,24.95,74.1333,65.59,21,89,3.2,overcast clouds
193,Talnakh,RU,69.4865,88.3972,-28.82,98,40,3.0,scattered clouds
194,Zhezkazgan,KZ,47.8043,67.7144,30.15,90,96,18.88,overcast clouds
195,Longyearbyen,SJ,78.2186,15.6401,24.64,68,75,14.97,broken clouds
196,Rocha,UY,-34.4833,-54.3333,69.46,87,100,6.58,overcast clouds
197,Nishihara,JP,26.1842,127.7558,61.88,72,100,10.36,overcast clouds
198,Inuvik,CA,68.3499,-133.7218,16.66,79,75,5.75,light snow
199,Maceio,BR,-9.6658,-35.7353,78.24,78,40,4.61,scattered clouds
200,Byron Bay,AU,-28.65,153.6167,78.75,90,54,5.03,broken clouds
201,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,33.94,99,100,17.63,light snow
202,Tuatapere,NZ,-46.1333,167.6833,52.83,86,100,5.57,overcast clouds
203,Tongchuan,CN,35.0806,109.0897,42.26,43,0,5.7,clear sky
204,Shingu,JP,33.7333,135.9833,40.91,63,85,6.26,overcast clouds
205,Oranjemund,NA,-28.55,16.4333,66.4,94,38,7.02,scattered clouds
206,Sirjan,IR,29.452,55.6814,51.17,39,5,4.88,clear sky
207,Carnarvon,AU,-24.8667,113.6333,69.87,73,0,6.91,clear sky
208,Rosarito,MX,32.3333,-117.0333,63.64,55,8,8.95,clear sky
209,Iqaluit,CA,63.7506,-68.5145,-17.03,91,10,7.29,clear sky
210,Namatanai,PG,-3.6667,152.4333,81.86,73,79,3.11,broken clouds
211,Jinxiang,CN,27.4327,120.6062,47.41,91,100,9.64,overcast clouds
212,Tuktoyaktuk,CA,69.4541,-133.0374,6.8,85,75,9.22,broken clouds
213,La Paz,BO,-16.5,-68.15,64.38,36,40,6.91,scattered clouds
214,Jaunjelgava,LV,56.6167,25.0833,31.5,94,11,7.36,few clouds
215,Borba,BR,-4.3878,-59.5939,77.32,92,95,1.25,overcast clouds
216,Vitre,FR,48.1178,-1.2058,36.48,76,8,8.86,clear sky
217,Beloha,MG,-25.1667,45.05,73.27,91,39,10.49,scattered clouds
218,Sola,VU,-13.8833,167.55,83.37,71,50,6.55,scattered clouds
219,Parkes,AU,-33.1333,148.1833,70.36,72,100,1.01,overcast clouds
220,Cayenne,GF,4.9333,-52.3333,75.24,92,75,5.01,light rain
221,Viedma,AR,-40.8135,-62.9967,79.05,17,100,13.76,overcast clouds
222,Akyab,MM,20.15,92.9,71.08,44,74,7.29,broken clouds
223,Mitzic,GA,0.7821,11.549,69.08,98,87,3.53,moderate rain
224,Jacareacanga,BR,-6.2222,-57.7528,77.0,91,93,0.74,overcast clouds
225,Luwuk,ID,-0.9516,122.7875,77.16,91,97,4.43,heavy intensity rain
226,Segezha,RU,63.7415,34.3222,6.42,99,91,6.76,overcast clouds
227,Terrace,CA,54.5163,-128.6035,48.11,61,75,14.97,broken clouds
